ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"218.93.208.61","elite","AS4134","CN","Chinanet","225","Chinanet JS","8888","http","723","706","2023-02-24T17:08:08.707Z","98","1039","1063"
"104.25.115.125","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1024","1","2023-02-24T17:08:08.021Z","100","1094","1096"
"95.38.95.40","elite","AS41881","IR","Fanava Group","94","Fanava Group","8085","socks5","679","1","2023-02-24T17:08:08.397Z","94","956","1019"
"209.13.96.165","elite","AS10834","AR","Telefonica de Argentina","227","Telefonica de Argentina","39921","socks4","979","1","2023-02-24T17:08:08.692Z","94","1055","1121"
"202.21.115.94","elite","AS9484","MN","Mobinet LLC","123","N/A","44574","socks4","1035","1","2023-02-24T17:08:08.691Z","100","1101","1103"
"58.22.95.34","elite","AS4837","CN","CNCGroup CHINA169 FuJian province network","192","N/A","1080","socks4","995","1","2023-02-24T17:08:07.089Z","44","443","1001"
"139.255.67.51","anonymous","AS9905","ID","PT. LINKNET","165","N/A","3888","https","1354","273","2023-02-24T17:08:07.608Z","99","1091","1098"
"116.203.227.24","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","9050","socks5","1327","1","2023-02-24T17:08:07.410Z","83","835","1005"
"77.46.138.153","elite","AS8400","RS","TELEKOM-SRBIJA","37","N/A","33608","socks4","954","1","2023-02-24T17:08:07.624Z","100","1098","1098"
"103.95.97.50","elite","AS136759","BD","Cosmopolitan Communications Limited","201","Cosmopolitan Communications Limited","4153","socks4","964","1","2023-02-24T17:08:07.623Z","98","1090","1107"
"148.251.179.103","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","30241","socks4","1053","1","2023-02-24T17:08:07.421Z","100","1086","1086"
"110.78.149.203","elite","AS131090","TH","CAT-BB","183","N/A","4145","socks4","1005","1","2023-02-24T17:08:07.088Z","72","750","1036"
"150.220.8.228","elite","AS11427","US","Charter Communications","154","Spectrum","64312","socks4","971","1","2023-02-24T17:08:07.419Z","100","1111","1116"
"221.230.216.108","elite","AS4134","CN","Chinanet","214","Chinanet JS","1080","socks4","1565","1","2023-02-24T17:08:07.408Z","62","648","1037"
"177.105.68.184","elite","AS262637","BR","Netprimus Tecnologia Ltda","153","Netprimus Tecnologia Ltda","4153","socks4","1347","1","2023-02-24T17:08:07.410Z","100","1031","1033"
"89.218.152.146","elite","AS9198","KZ","JSC Kazakhtelecom","104","Tookorkem","1080","socks4","1111","1","2023-02-24T17:08:07.412Z","79","884","1121"
"104.20.75.31","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1114","1","2023-02-24T17:08:07.636Z","100","1120","1120"
"103.114.35.5","elite","AS137360","ID","Universitas Muhammadiyah Surabaya","172","Universitas Muhammadiyah Surabaya","3629","socks4","1034","1","2023-02-24T17:08:07.607Z","98","1047","1068"
"103.70.159.155","elite","AS133720","IN","speednet","166","N/A","5678","socks4","1555","1","2023-02-24T17:08:07.407Z","100","1071","1075"
"138.197.138.157","elite","AS14061","CA","DigitalOcean, LLC","95","DigitalOcean, LLC","64058","socks4","1315","1","2023-02-24T17:08:07.410Z","91","999","1101"
"104.16.104.12","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1136","1","2023-02-24T17:08:07.629Z","100","1073","1074"
"213.14.72.136","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","132","Superonline Iletisim Hizmetleri","1080","socks4","1370","1","2023-02-24T17:08:07.408Z","99","1055","1063"
"104.207.144.254","elite","AS20473","US","The Constant Company","103","Vultr Holdings, LLC","8118","socks5","1658","1","2023-02-24T17:08:07.406Z","99","1045","1056"
"177.105.68.203","elite","AS262637","BR","Netprimus Tecnologia Ltda","153","Netprimus Tecnologia Ltda","4153","socks4","1078","1","2023-02-24T17:08:07.412Z","100","1107","1108"
"103.117.108.169","elite","AS137935","BD","I Link Internet Service (I.T)","191","I Link Internet Service (I.T)","4153","socks4","1354","1","2023-02-24T17:08:07.409Z","98","1000","1021"
"41.223.108.13","elite","AS328250","SO","Golis Telecom Somalia","139","ISP","1080","socks4","1362","1","2023-02-24T17:08:07.409Z","100","1096","1101"
"155.93.255.137","elite","AS37680","ZA","CISPIPCT1","150","N/A","4153","socks4","981","1","2023-02-24T17:08:07.998Z","99","1104","1120"
"131.0.246.113","elite","AS61714","BR","supercore tecnologia e informatica eirelli","182","supercore tecnologia e informatica eirelli","4153","socks4","1373","1","2023-02-24T17:08:06.307Z","99","1112","1119"
"14.241.182.44","elite","AS45899","VN","VNPT","218","Vietnam Posts and Telecommunications Group","5678","socks4","1714","1","2023-02-24T17:08:06.307Z","83","929","1120"
"170.254.255.248","elite","AS52584","BR","Connect Fibra","213","Connect Fibra","45816","socks4","982","1","2023-02-24T17:08:06.310Z","97","1047","1077"
"45.77.77.144","elite","AS20473","US","The Constant Company","84","Vultr Holdings, LLC","11304","socks4","997","1","2023-02-24T17:08:06.310Z","77","786","1024"
"82.66.49.123","elite","AS12322","FR","Proxad / Free SAS","8","ProXad network / Free SA","80","socks5","993","1","2023-02-24T17:08:06.328Z","100","1010","1011"
"5.135.164.151","elite","AS16276","FR","OVH SAS","4","OVH","30256","socks4","973","1","2023-02-24T17:08:06.664Z","100","1094","1097"
"202.152.143.64","anonymous","AS23951","ID","PT Jembatan Citra Nusantara","205","N/A","3128","http","953","306","2023-02-24T17:08:06.331Z","100","1117","1120"
